MASTER_ID,NAME,LOC,STATUS,BILL_ACC_CNT,SERV_ACC_CNT,ACTV_ASSET_CNT,ORDER_CNT,TOT_NEW_SALE,TOT_UPGRADE,TOT_DGRADE,TOT_CHURN_AMT,Revenue(ZAR)
1-C7-12917,DURBAN TECHNOLOGY HUB T/A SMARTXCHANGE,ORA-647654_22396,Active,1,1,7,0,0,0,0,0,-R10 141.46
1-C7-12920,INTERNET SERVICE PROVIDER ASSOCIATION (ISPA) JINX,ORA-647665_22399,Active,1,0,3,0,0,0,0,0,R0.00
1-C7-12925,EASTERN CAPE INFORMATION TECHNOLOGY INITIATIVE (IS SPONSORSHIP),ORA-647669_22401,Active,1,0,11,0,0,0,0,0,R1 512.00
1-C7-12927,PRIMO EXECUTIVE CARS (PTY)TLD,ORA-647871_22418,Active,1,1,10,0,0,0,0,0,R928.06
1-C7-12946,KBC HEALTH & SAFETY (PTY) LTD,ORA-647909_22440,Active,1,0,12,0,0,0,0,0,R8 293.42
1-C7-13000,XPERT DECISION SYSTEMS (PTY) LTD,JOHANNESBURG,Active,1,2,66,5,174400,0,0,-53460,R172 134.71
1-C7-13175,AMPAGLAS PLASTICS GROUP (PTY) LTD,JOHANNESBURG,Active,1,4,0,0,0,0,0,0,-R225.00
1-C7-13196,SUBARU SOUTHERN AFRICA,JOHANNESBURG,Active,1,5,194,29,181205.6,47846,0,0,R100 788.53
1-C7-13203,UNITRANS SUPPLY CHAIN SOLUTIONS (PTY) LTD,USCS - MAIN SERVICE ACCOUNT,Active,1,223,1573,276,2201763.7,1358112.16,0,-156384,R597 594.68
1-C7-13273,CARGILL RSA (PTY) LTD,JOHANNESBURG,Active,1,0,34,0,0,0,0,0,R17 271.70
1-C7-13495,TECHNICAL AND TELEVISION SERVICES,PORT ELIZABETH,Active,1,0,35,4,1822560,0,0,0,R1 196.74
1-C7-13700,JOHANNESBURG ROADS AGENCY (PTY) LTD,JOHANNESBURG,Active,2,2,66,0,0,0,0,0,R90 158.16
